,time,x_lmc,y_lmc,lat,lon,UTM_N,UTM_E,z,vel_over_ground_N,vel_over_ground_E,vel_over_ground_D,u,v,w,roll,pitch,yaw,p,q,r,q0,q1,q2,q3,rud_angle,mot_pwr,batt_pos,pump_vol,vel_oc_N,vel_oc_E,vel_oc_u,vel_oc_v
544,1574793611.000041,235.64460767757146,2681.2009948763307,36.55339637819938,25.486100167171042,4046397.2509948765,364510.82460767764,233.42110188104175,-0.09357991472678473,1.2751473472521433,-0.4857321777471123,0.3243600824520424,1.3726940931079676,0.2524247301180952,1.3993537324573373,26.62789119704185,375.78581872255126,0.004932964914527155,0.01250886786209035,-0.0014027286657662618,0.016265945212922604,-0.2586609474812984,-0.12309967076374724,-1.0883206698323877,-0.021174536792194526,4.826074750452217,-0.014862047999999992,252.76010855908422,0.11693096082167062,-0.41707224192201703,-0.05098894292629072,-0.04859684724482008
545,1574793619.000041,235.57867655796858,2690.428954903913,36.55347953078386,25.48609780826278,4046406.478954904,364510.758676558,229.22606906179308,0.3963240863493135,-0.05559086848475918,-0.045361294816090976,-0.08626317615643667,-0.45987694620044284,-0.2685404287838663,2.066879051895559,25.97396511074144,350.0902380761947,0.0034407362002042974,0.004842238626177361,-0.005187319376693471,-0.03699063968008595,-0.22309463819990072,0.08843372159001366,-0.9736580251059073,0.013405212809009625,5.109416999566153,-0.014862047999999996,252.7883589430632,0.1766343105428235,0.0012924823670568816,-0.22739564118434283,-0.08948292857220161
546,1574793627.000041,236.3145742402274,2692.0952135383027,36.553494651414034,25.486105735328685,4046408.145213538,364511.4945742402,227.99981866882078,-0.3134123588255253,0.7059254636246726,-0.5063971966068777,-0.1718232146768169,-0.39525806974448247,0.814911256983578,1.9918551159423152,25.992278731460868,349.7192140067968,-0.004623846580295893,-0.007847202791138437,0.00826508281810355,-0.03700050278284789,-0.2225355157920056,0.0910626767748814,-0.9704312812631154,0.04134760274219162,4.765433548425612,-0.014862048000000001,252.7440165316795,-0.023953935160405854,-0.06229029670831816,0.08644471790123069,-0.042806720859768284
547,1574793635.000041,233.46118950098767,2696.1802995894636,36.55353106125833,25.486073144573158,4046412.2302995883,364508.6411895009,224.22269696627424,-0.45645715183428126,0.7362900315917313,-0.4437489180179973,-0.14811809176031407,-0.11091762273751213,0.9405606566022428,2.256759550864129,25.485605833512185,351.33871094927764,0.0071183154401950124,-0.0033354581359889154,0.013054355524997854,-0.035501956559832,-0.21925338077057557,0.07609190669432875,-0.9753069963514143,0.04939187430806739,4.452223848465768,-0.014862048000000001,252.81584775298148,-0.03739993129489466,-0.5782520881718731,-0.041255363538490825,0.08178093721644587
548,1574793643.000041,230.9876657200586,2701.4567230481907,36.55357826125379,25.486044587394094,4046417.5067230477,364506.16766572,220.7272974723487,-0.11408836035301516,0.7195740466397179,-0.4435912055185426,-0.44227506221716195,0.15264873556358954,0.6724823443735471,2.7120653634183807,25.176579968635536,366.33993496742136,0.010786689127669868,0.003473511839060576,-0.029332671138288177,-0.006747905243801509,-0.2313476452321075,-0.0746208714137817,-1.0274060438514205,0.08245545163885849,2.712536195773032,-0.014862048,252.7128967720579,0.035940047019585385,-0.3139396525680266,-0.07026712474336011,-0.07075016341894658
549,1574793651.000041,230.75218348558192,2705.9219444840164,36.553618468210246,25.486041171931216,4046421.9719444844,364505.93218348565,217.20331020207377,0.09178588087866563,0.455456897067534,-0.4028975703905192,-0.634248755770078,0.1436688257038295,0.3263309267515497,3.258861603039694,25.234119103366098,36.72679540510443,0.24580422304995503,0.0705519261614127,-0.6053873177427691,-0.04066519818181122,0.18265669855059682,0.27862378097501955,0.7812139597982337,0.08077904250698617,5.569860962863428,-0.014862047999999997,252.67260671841512,0.05398900017824454,-0.5464895392165813,-0.05533085150554937,-0.010600960305441528
550,1574793659.000041,231.72632914981756,2711.2163981300478,36.55366631976008,25.486051122319004,4046427.266398128,364506.90632914973,213.5000184640621,0.32273749117629336,0.3003784966538239,-0.34000455229020926,-0.4310930940744483,0.20917070621351527,0.2835006057390628,3.036783141244365,25.369622361809775,9.55449549463822,0.0023310124907980935,-0.006676085209763388,-0.0060322438239004995,0.007479990001071526,0.22090074645308103,0.07542247560544629,0.9723463880675116,0.04154441160096938,4.874584938280513,-0.014862047999999997,252.7794386748836,-0.028570445754322656,-0.24215737638194015,0.031909068777674285,-0.024493652356258964
551,1574793667.000041,234.7248187324134,2715.2125337537295,36.553702758089855,25.486083913117923,4046431.262533754,364509.90481873247,210.0000204823636,0.20672984992082044,0.3481715527651747,-0.34000608679213185,0.3298132069268842,0.40927657184164645,0.057249055331493784,2.2065732012295154,26.189033200286808,7.048234116939691,0.006520433033084214,-0.0012164307964273615,0.0018886300468808279,0.004795072233571711,0.22724050083994451,0.055504923235452946,0.9722435843935189,0.014905734997912668,5.213652055886336,-0.014862048000000003,252.69477642568654,0.031959001953079796,-0.42596540036702796,0.040634815963270496,0.01270414159736759
552,1574793675.000041,236.98473099773867,2719.6822981166456,36.55374335996342,25.486108370687955,4046435.732298118,364512.16473099776,206.50001950381582,0.033007112275440766,-0.32132000916816916,-6.364485402948761e-06,-0.27710729086172536,0.04405497586790234,-0.16002173030948647,2.153838760266772,26.192292515267184,6.808206550244908,-0.001483365038560656,0.0071472968749624124,0.003592565109547384,0.004822771353651648,0.22723230901779023,0.053567739469691,0.9723511043480619,-0.006470658352467128,4.885896067545502,-0.014862047999999994,252.70654769249305,0.01748791335817397,-0.32125884821323786,0.02324816285803472,0.0023268318111085056
553,1574793683.000041,237.96095481140125,2719.6075569155714,36.55374282487638,25.486119288351823,4046435.657556915,364513.14095481136,205.4049916737891,0.22915300418127446,0.9349819337986942,-0.7247570335295896,-0.36930505244741096,-1.3437387616533678,0.12013017473605461,1.1187437484696567,26.090412836307216,302.4415664807748,0.00756996340795636,-0.009272115795777622,-0.0025881884263702203,-0.015607112411778928,-0.15798913264483128,0.04286336339439297,-0.6835232998273663,-0.006791878904973268,5.224553703619664,-0.014862048000000001,252.61820654078295,0.058666112972012775,-0.2426108179323052,-0.09340548558138488,-0.047193347149742375
